단어 명,물리 명,영문 명,금칙어,분류어 여부,정의내용
ID가능문자유형번호,IDPBTCHRTPNO,IDENTIFICATION NUMBER POSSIBILITY CHARACTERTYPE NUMBER,,분류어,생략
ID필수문자유형번호,IDESLCHRTPNO,IDENTIFICATION NUMBER ESSENTIALITY CHARACTERTYPE NUMBER,,분류어,생략
IMO번호,IMONO,INTERNATIONAL MARITIME ORGANIZATION NUMBER,,분류어,생략
IMQC,IMQC,INDIVIDUAL MAINTENANCE QUALITY CONTROL,,,생략
INU,INU,INU,,,생략
IOD,IOD,INTERNAL OBJECT DAMAGE,내부물체로인한파손,,생략
IP,IP,INTERNET PROTOCOL,"아이피,IP주소,IP ADDRESS,IPADDRESS",분류어,생략
IRDS,IRDS,INFRARED DETECTION SYSTEM,,,생략
ISAR,ISAR,INVERSE SYNTHETIC APERTURE RADAR,,,생략
ISBN,ISBN,INTERNATIONAL STANDARD BOOK NUMBER,,,생략
ISDLII,ISDLII,INTER SITE DATA LINK II,,,생략
