단어 명,물리 명,영문 명,금칙어,분류어 여부,정의내용
ISO14000시리즈,ISO14000,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION 14000 시리즈,,,생략
ISO18000시리즈,ISO18000,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION 18000 시리즈,,,생략
ISO9000시리즈,ISO9000,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION 9000 시리즈,,,생략
ITA,ITA,INFORMATION TECHNOLOGY ARCHITECTURE,,,생략
ITA도구,ITATL,ITA TOOL,,,생략
ITA비전,ITAVS,ITA VISION,,,생략
ITA원칙,ITAP,ITA PRINCIPLE,,,생략
IT산업,ITIDSTR,INFORMATION TECHNOLOGY INDUSTRY,,,생략
I표적,TGTI,TARGET I,,,생략
JDBC,JDBC,Java database connectivity,,,생략
JFS,JFS,JET FUEL STARTER,,,생략
JIT,JIT,JUST IN TIME,,,생략
JMX,JMX,Java management extension,,,생략
JOAP,JOAP,JOINT OIL ANALYSIS PROGRAM,,,생략
JOAP조치코드,JACD,JOAP ACTION CODE,,분류어,생략
JPEG,JPEG,JOINT PHOTOGRAPHIC EXPERTS GROUP,,,생략
JSON,JSON,JAVASCRIPT OBJECT NOTATION,,,생략
JVM,JVM,Java virtual machine,,,생략
J표적,TGTJ,TARGET J,,,생략
KAMARG,KAMARG,KOREA AEROSPACE MAINTENANCE AND REGENERATION GROUP,,,생략
KDN,KDN,KEY DISTINGUISHED NAME,,,생략
KDN번호,KDNNO,KEY DISTINGUISHED NAME NUMBER,,분류어,생략
KGMP,KGMP,KOREAN GOOD MANUFACTURING PRACTICE,,,생략
KID,KID,KID,,,생략
KIMS,KIMS,KOREA INDEX OF MEDICAL SPECIALTIES,,,생략
KIMS분류,KIMSCL,KIMS CLASSIFICATION,,,생략
KLIS,KLIS,K-LIS,,,생략
KM138,KM138,KM138,,,생략
KMTF,KMTF,KJCCS MESSAGE TEXT FORMAT,,,생략
KN-02,KN02,KN-02,,,생략
KN-07,KN07,KN-07,,,생략
KN번호,KNNO,KN NUMBER,,분류어,생략
KTA1,KTA1,KT/A-1 AIRCRAFT,,,생략
LCMS,LCMS,LONG CHARACTER MESSAGE SERVICE,,,생략
LCS,LCS,LAUNCH CONTROL STATION,,,생략
LDAP,LDAP,LIGHTWEIGHT DIRECTORY ACCESS PROTOCOL,,,생략
LINK16,LINK16,LINK16,,,생략
LVC기반합성전장환경,SBELVC,SYNTHETIC BATTLEFIELD ENVIRONMENT BASED ON LIVE-VIRTUAL-CONSTRUCTIVE SIMULATIONS INTEGRATED,,,생략
L표적,TGTL,TARGET L,,,생략
M+10월,MMN10,MOBILIZATION 10 MONTH,,,생략
M+11월,MMN11,MOBILIZATION 11 MONTH,,,생략
M+12월,MMN12,MOBILIZATION 12 MONTH,,,생략
M+1530일,MD1530,MOBILIZATION 1530 DAY,,,생략
M+1월,MMN1,MOBILIZATION 1 MONTH,,,생략
M+1일,MD1,MOBILIZATION 1 DAY,"M1,M1일",,생략
M+2월,MMN2,MOBILIZATION 2 MONTH,,,생략
M+2일,MD2,MOBILIZATION 2 DAY,"M2,M2일",,생략
M+30일,MD30,MOBILIZATION 30 DAY,"M30,M30일",,생략
M+364일,MD364,MOBILIZATION 364 DAY,"M364,M364일",,생략
M+3월,MMN3,MOBILIZATION 3 MONTH,,,생략
M+3일,MD3,MOBILIZATION 3 DAY,"M3,M3일",,생략
M+4월,MMN4,MOBILIZATION 4 MONTH,,,생략
M+4일,MD4,MOBILIZATION 4 DAY,"M4,M4일",,생략
M+5월,MMN5,MOBILIZATION 5 MONTH,,,생략
M+5일,MD5,MOBILIZATION 5 DAY,"M5,M5일",,생략
M+6월,MMN6,MOBILIZATION 6 MONTH,,,생략
M+6일,MD6,MOBILIZATION 6 DAY,"M6,M6일",,생략
M+714일,MD714,MOBILIZATION 714 DAY,,,생략
M+7월,MMN7,MOBILIZATION 7 MONTH,,,생략
M+7일,MD7,MOBILIZATION 7 DAY,,,생략
M+8월,MMN8,MOBILIZATION 8 MONTH,,,생략
M+8일,MD8,MOBILIZATION 8 DAY,,,생략
M+9월,MMN9,MOBILIZATION 9 MONTH,,,생략
MAC,MAC,MEDIA ACCESS CONTROL,,,생략
MAC주소,MACA,MEDIA ACCESS CONTROL ADDRESS,"MACADDRESS,MAC ADDRESS",분류어,생략
MAIKIT,MAIKIT,MAIKIT,MA-IKIT,,생략
MF,MF,MAINTENANCE FLOAT,,,생략
MICLIC,MICLIC,MINE CLEARING LINE CHARGE,,,생략
MISSIONKILL,MSNKILL,MISSION KILL,,,생략
MOPP구분코드,MOPPSECCD,MISSION ORIENTED PROTECTIVE POSTURE SECTION CODE,,분류어,생략
M월,MMN,MOBILIZATION MONTH,,,생략
M일,MDAY,MOBILIZATION DAY,"M-DAY,동원개시일,MDAY,동원일자",분류어,생략
M일코드,MDAYCD,MOBILIZATION DAY CODE,,분류어,생략
M표적,TGTM,TARGET M,,,생략
NA2,NA2,NUMBER OF AIRCRAFT,,,생략
NARR,NARR,NARRATION,,,생략
NBCRAMS,NBCRAMS,NUCLEAR BIOLOGICAL AND CHEMICAL REPORTING AND MODELING SOFTWARE,,,생략
NOT,NOT,NOT,,,생략
N표적,TGTN,TARGET N,,,생략
OCR,OCR,OPTICAL CHARACTER READER,,,생략
OCS,OCSYS,ORDER COMMUNICATION SYSTEM,,,생략
OCX,OCX,OBJECT LINKING AND EMBEDDING CONTROL EXTENSION,,,생략
OFF,OFF,OFF,,,생략
OLE개체,OLEI,OBJECT LINKING AND EMBEDDING INDIVIDUAL,,,생략
ON,ON,ON,,,생략
OSPF,OSPF,OPEN SHORTEST PATH FIRST,,,생략
P3C,P3C,PATROL AIRCRAFT-3C,,,생략
PAC-2,PAC2,PATRIOT ADVANCED CAPBILITY 2,,,생략
PAC-3,PAC3,PATRIOT ADVANCED CAPBILITY 3,,,생략
PACS,PACS,PICTURE ARCHIVING AND COMMUNICATION SYSTEM,,,생략
PARA번호,PARANO,PARA NUMBER,,분류어,생략
PART자원,PTRSC,PART RESOURCE,,,생략
PCH,PCH,"PACKING, CRATING, HANDLING",,,생략
PDA,PDA,PERSONAL DIGITAL ASSISTANCE,,,생략
pdf,PDF,PDF,,,생략
PERT,PERT,PROGRAM EVALUATION AND REVIEW TECHNIQUE,,,생략
PES,PES,POTENTIAL EXPLOSIVE SITE,,,생략
PIN번호,PINNO,PIN Number,,분류어,생략
PLC,PWLVCV,POWER LEVEL CURVE,,,생략
PMESII,PMESII,POLITICAL MILITARY ECONOMIC SOCIAL INFRASTRUCTURE INFORMATION,,,생략
POD,POD,POD,,,생략
POL장비,POLEQ,PETROLEUM OIL LUBRICANT FOR EQUIPMENT,P.O.L장비,,생략
POP3,POP3,POST OFFICE PROTOCOL 3,,,생략
PPD,PPD,TUBERCUKIN SKIN TEST,,,생략
PRISM,PRISM,PRISM,,,생략
PROXY,PRXY,PROXY,,,생략
PSI,PSI,POUNDS PER SQUARE INCH,,,생략
PX,PX,POST EXCHANGE,,,생략
QR코드,QRCD,Quick Response Code,,,생략
Q코드구분코드,QCDDVSCD,Q CODE DIVISION CODE,,분류어,생략
Q코드부호,QCDSGN,Q CODE SIGN,,분류어,생략
RAAM,RAAM,REMOTE ANTI ARMOR MINE,,,생략
RAM,RAM,"RELIABILITY, AVAILABILITY, MAINTAINABILITY",,,생략
RFID,RFID,RADIO FREQUENCY IDENTIFICATION,,,생략
RGB,RGB,RED GREEN BLUE,,,생략
RGB색상번호,RGBCLNO,RGB COLOR TONE NUMBER,,분류어,생략
ROTC,ROTC,RESERVE OFFICERS` TRAINING CORPS,RT,,생략
RT박스,RTBOX,ARTILLERY BOX,RTBOX,,생략
SABSEL,SABSEL,SABRE SELECTOR,,,생략
SAMFILE,SAMFL,SEAUENTIAL ACCESS METHOD FILE,,,생략
SEMIS,SEMIS,SHIP ESTIMATED MOVEMENT INFORMATION SYSTEM,,,생략
SF,SF,SHIP`S FILED,,,생략
SIDE수액,SIDIJ,SIDE INJECTION,,,생략
SID번호,SIDNO,SET ID NUMBER,,분류어,생략
SMR부호,SMRS,SOURCE MAINTENANCE AND RECOVERABILITY SIGN,,분류어,생략
SMS,SMS,SHORT MESSAGE SERVICE,,,생략
SMTP,SMTP,SIMPLE MAIL TRANSFER PROTOCOL,,,생략
SNOMED,SNOMED,SYSTEMATIZED NOMENCLATURE OF MEDICINE,,,생략
SNS,SNS,SOCIAL NETWORK SERVICE,,,생략
SOFA,SOFA,STATUS OF FORCES AGREEMENT,"한미행정협정,한/미행정협정,주한미군지휘협정,주둔군지위협정",,생략
SOMS-B,SOMSB,SOMS-B,,,생략
SP번호,SPNO,SP NUMBER,,분류어,생략
SQL,SQL,STRUCTURED QUERY LANGUAGE,,,생략
SWOT분석,SWOT,"STRENGTHS, WEAKNESSES, OPPORTUNITIES, THREATS ANALYSIS",,,생략
SW자원,SFTRSC,SOFTWARE RESOURCE,,,생략
T50,T50,T-50 AIRCRAFT,,,생략
TAV2S,TAV2S,TAV2S,,,생략
TBS,TBS,SEOUL TRAFFIC BROADCASTING SYSTEM,,,생략
TCPIP,TCPIP,TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL,,,생략
TGM,TGM,TERMINAL GUIDED MUNITION,,,생략
TLE,TLE,TWO LINE ELEMENT SET,,,생략
TN,TN,TAIL NUMBER,,분류어,생략
TNS,TNS,TRANSPARENT NETWORK SUBSTRATE,,,생략
TNT폭약,TNT,TRINITRO TOLUENE,,,생략
TOPIS,TOPIS,TRANSPORT OPERATION AND INFORMATION SERVICE,,,생략
TPS830K,TPS830K,TPS-830K,,,생략
TRAY,TRAY,TRAY,,,생략
T박스,TBOX,T BOX,TBOX,,생략
UCC,UCC,USER CREATED CONTENTS,,,생략
UCMS보조속성구분코드,UCASSATRSCD,UCMS ASSISTANCE ATTRIBUTE SECTION CODE,,분류어,생략
UNSPSC,UNSPSC,UNITED NATIONS STANDARD PRODUCTS AND SERVICE CLASSIFICATION,,,생략
UN국제생산물분류,UNCPC,UN CENTRAL PRODUCT CLASSIFICATON,,,생략
UN국제생산물분류코드,UNCPCCD,UN CENTRAL PRODUCT CLASSIFICATON CODE,,분류어,생략
URI,URI,UNIFORM RESOURCE IDENTIFIER,,,생략
URL,URL,UNIFORM RESOURCE LOCATOR,,분류어,생략
USN,USN,UBIQUITOUS SENSOR NETWORK,,,생략
UTMX좌표,UTMX,UNIVERSAL TRANSVERSE MERCATOR X COORDINATE SYSTEM,,분류어,생략
UTMY좌표,UTMY,UNIVERSAL TRANSVERSE MERCATOR Y COORDINATE SYSTEM,,분류어,생략
UTM좌표,UTM,UNIVERSAL TRANSVERSE MERCATOR,"UTM,지리좌표(UTM)",,생략
U자,UTYP,U TYPE,유자,,생략
U자못,UNL,U NAIL,,,생략
U자철선코드,UTYPIWRCD,UTYP IRON WIRE CODE,,분류어,생략
VAMOSC,VMOSC,VISIBILITY AND MANAGEMENT OF OPERATING AND SUPPORT COST,,,생략
VDRL,VDRL,VENEREAL DISEASE RESEARCH LABORATORY,,,생략
VO,VLOBJ,VALUE OBJECT,,,생략
VOD,VOD,VIDEO ON DEMAND,,,생략
VoIP,VOIP,Voice over Internet Protocol,,,생략
V표시용기,VIIST,V INDICATION INSTRUMENT,,,생략
WB,WB,WB,,,생략
WINJMEM,WINJMEM,WINDOWED JOINT MUNITION EFFECTIVENESS MANUAL,,,생략
WORKLIST,WKLST,WORK LIST,,,생략
WPAN,WPAN,WIRELESS PERSONAL AREA NETWORK,,,생략
WRSA탄약,WRSAAMN,WAR RESERVED STOCK FOR ALLIED AMMUNITION,,,생략
WSDL,WSDL,WEB SERVICES DESCRIPTION LANGUAGE,,,생략
X+1년도,XYR1,X+1 YEAR,"X+1,X+1년,Y+1,Y+1년,Y+1년도,X_1,기준년도+1,X1년,Y1년",,생략
X+2년도,XYR2,X+2 YEAR,"X+2,X+2년,Y+2,Y+2년,Y+2년도,X_2,기준년도+2,X2년,Y2년",,생략
X+3년도,XYR3,X+3 YEAR,"X+3,X+3년,Y+3,Y+3년,Y+3년도,X_3,기준년도+3,Y3년",,생략
X+4년도,XYR4,X+4 YEAR,"X+4,X+4년,Y+4,Y+4년,Y+4년도,X_4,기준년도+4,Y4년",,생략
X+5년도,XYR5,X+5 YEAR,"X+5,X+5년,Y+5,Y+5년,Y+5년도,X_5,기준년도+5",,생략
X+6년도,XYR6,X+6 YEAR,"X+6,X+6년,Y+6,Y+6년,Y+6년도,X_6",,생략
X+7년도,XYR7,X+7 YEAR,"X+7,X+7년,Y+7,Y+7년,Y+7년도,X_7",,생략
X+8년도,XYR8,X+8 YEAR,"X+8,X+8년,Y+8,Y+8년,Y+8년도,X_8",,생략
X+9년도,XYR9,X+9 YEAR,"X+9,X+9년,Y+9,Y+9년,Y+9년도,X_9",,생략
X-10년도,XYRM10,X-10 YEAR,"X-10,X-10년,Y-10,Y-10년,Y-10년도",,생략
X-1년도,XYRM1,X-1 YEAR,"X-1,X-1년,Y-1,Y-1년,Y-1년도",,생략
X-2년도,XYRM2,X-2 YEAR,"X-2,X-2년,Y-2,Y-2년,Y-2년도",,생략
X-3년도,XYRM3,X-3 YEAR,"X-3,X-3년,Y-3,Y-3년,Y-3년도",,생략
X400,X400,X.400,,,생략
X-4년도,XYRM4,X-4 YEAR,"X-4,X-4년,Y-4,Y-4년,Y-4년도",,생략
X500,X500,X.500,,,생략
X-5년도,XYRM5,X-5 YEAR,"X-5,X-5년,Y-5,Y-5년,Y-5년도",,생략
X-6년도,XYRM6,X-6 YEAR,"X-6,X-6년,Y-6,Y-6년,Y-6년도",,생략
X-7년도,XYRM7,X-7 YEAR,"X-7,X-7년,Y-7,Y-7년,Y-7년도",,생략
X-8년도,XYRM8,X-8 YEAR,"X-8,X-8년,Y-8,Y-8년,Y-8년도",,생략
X-9년도,XYRM9,X-9 YEAR,"X-9,X-9년,Y-9,Y-9년,Y-9년도",,생략
XML,XML,EXTENSIBLE MARKUP LANGUAGE,,,생략
XMS,XMS,Extension memory size,,,생략
XMX,XMX,Extension maximum memory size,,,생략
XSL,XSL,EXTENSIBLE STYLESHEET LANGUAGE,,,생략
XY좌표,XYCOORD,"X, Y COORDINATES",좌표XY,,생략
X년도,XYR,X YEAR,"Y년,X+0,Y+0,X+0년,Y+0년,기준연도,기준년도,Y+0년도,Y년도,X년",,생략
X좌표,XCOORD,X COORDINATES,좌표X,,생략
X축,XAX,X AXIS,,,생략
Y좌표,YCOORD,Y COORDINATES,좌표Y,,생략
Y축,YAX,Y AXIS,,,생략
Z좌표,ZCOORD,Z COORDINATES,좌표Z,,생략
Z축,ZAX,Z AXIS,,,생략
가,TMP,TEMPORARY,,,생략
가감,ADDSBTR,ADDITION AND SUBTRACTION,,,생략
가격,PRC,PRICE,가,분류어,생략
가격개정,PRCADJ,PRICE ADJUSTMENT,,,생략
가격및가용성자료,PNA,PRICE AND AVAILABILITY DATA,,,생략
가격자료,PRCLST,PRICE LIST,PRICELIST,,생략
가격정보,PRCSINF,PRICE AND COST INFORMATION,,,생략
가격조건코드,PRCNDCD,PRICE CONDITION CODE,,분류어,생략
가격조사,PCI,PRICE AND COST INVESTIGATION,,,생략
가계,HSHACC,HOUSEHOLD ACCOUNT,,,생략
가계도,FMLTR,FAMILY TREE,,,생략
가계약,DRFCTR,DRAFT CONTRACT,,,생략
가계지원비,PMSHS,PAYMENT MADE TO SUPPORT HOUSEHOLD SPENDING,,,생략
가공,PRCSNG,PROCESSING,,,생략
가공비,PRCST,PROCESSING COSTS,,,생략
가교각,TMPBGPR,TEMPORARY BRIDGE PIER,,,생략
가군,GRPGA,GA GROUP,,,생략
가급,CLSGA,GA CLASS,,,생략
가능,PSBLT,POSSIBILITY,,,생략
가능성,PSBLTY,POSSIBILITY,,,생략
가능일자,PSBLTDT,POSSIBILITY DATE,가능일,,생략
가동,OPRTNG,OPERATING,,,생략
가동률,AVLRT,AVAILABLE RATE,가동율,분류어,생략
가동탄약보급소,MASP,MOBILE AMMUNITION SUPPLY POINT,,,생략
가두,STRT,STREET,,,생략
가두판매,STRPDL,STREET PEDDLING,,,생략
가등기,PRSRGST,PROVISIONAL REGISTRATION,,,생략
가로,HRZNT,HORIZONTAL,횡,,생략
가로수,STTREE,STREET TREE,,,생략
가맹점,FRNCHS,FRANCHISE,,,생략
가명,FLSNM,FALSE NAME,,분류어,생략
가반식,MVBTY,MOVABLE TYPE,,,생략
가발,WIG,WIG,,,생략
가변,VRABL,VARIABLENESS,,,생략
가변메시지포맷,VMF,VARIABLE MESSAGE FORMAT,VMF,,생략
가변주파수,VF,VARIABLE FREQUENCY,VF,,생략
가변차로,CVROD,CHANGEABLE VEHICULAR ROAD,,,생략
가변필드,VRFLD,VARIABLE FIELD,,,생략
가보존,TMPPSV,TEMPORARY PRESERVATION,,,생략
가분급부,DBN,DIVISIBLE BENEFIT,,,생략
가사,WSFS,WORDS OF A SONG,,,생략
가산,MTNST,MOUNTAINS AND STREAMS,,,생략
가산,ADTN,ADDITION,,,생략
가산금,ADDCHRG,ADDITIONAL CHARGES,,,생략
가산복무,ADDSVC,ADDITIONAL SERVICE,,,생략
가산수수료,ADDIFEE,ADDITIONAL FEE,,,생략
가산율,ADTNRT,ADDITION RATE,,,생략
가산점,ADDPNT,ADDITION POINT,,,생략
가상,VR,VIRTUAL,,,생략
가상적국,HES,HYPOTHETICAL ENEMY STATE,,,생략
가상적표적,ASHTR,ASSUMED HOSTILE TRACKS,,,생략
가상지휘소,VCP,VIRTUAL COMMAND POST,,,생략
가설,ERCT,ERECTION,,,생략
가설,TPCSTR,TEMPORARY CONSTRUCTION,,,생략
가속,ACLRTN,ACCELERATION,,,생략
가수,ADNUM,ADD NUMBER,,,생략
가수요,IMGDMD,IMAGINARY DEMAND,,,생략
가스,GAS,GAS,,,생략
가스발생기,GSGNR,GAS GENERATOR,"가스제너레이터,가스제네레이터",,생략
가슴,BUST,BUST,,,생략
가슴둘레,CHSTCRCM,CHEST CIRCUMFERENCE,흉위,분류어,생략
가습기,HMDFR,HUMIDIFIER,,,생략
가시,VSBLT,VISIBILITY,,,생략
가시광선,VSRAY,VISIBLE RAY,,,생략
가시선,LOS,LINE OF SIGHT,조준선,,생략
가시채널,VSBLCHN,VISIBLE CHANNEL,,,생략
가압,PRSR,PRESSURE,,,생략
가압류,PRVSZ,PROVISIONAL SEIZURE,,,생략
가액,VLPRC,VALUE PRICE,,분류어,생략
가연성,INFM,INFLAMMABLE,,,생략
가옥,HS,HOUSE,,,생략
가외,EX,EXTRA,,,생략
가용,USEFL,USEFULNESS,,,생략
가용도,AVLBLT,AVAILABILITY,,,생략
가용량,AVLQNTY,AVAILABLE QUANTITY,,,생략
가용성,AVL,AVAILABLE,,,생략
가용액,AVLAMT,AVAILABLE AMOUNT,"가용금액,가용자금,가용자금액",,생략
가용예산,AVBGT,AVAILABLE BUDGET,,,생략
가용요소구분코드,AVEMCLCD,AVAILABLE ELEMENT CLASSIFICATION CODE,,분류어,생략
가용우회로,USBP,USEFULNESS BYPASSLANE,,,생략
가용자산,AVLAST,AVAILABLE ASSETS,,,생략
가용자산판단,AVATJG,AVAILABLE ASSET JUDGEMENT,,,생략
가운,GOWN,GOWN,,,생략
가위,SCSR,SCISSORS,,,생략
가위바위보,RPS,ROCK-PAPER-SCISSORS,,,생략
가을,AUTMN,AUTUMN,,,생략
가이드,GUIDE,GUIDE,,,생략
가입,ENTR,ENTRY,,,생략
가입률,ENTRRT,ENTRY RATE,가입율,,생략
가입비,SRBCT,SUBSCRIBE COST,,,생략
가입수수료,SSMMS,SUBSCRIBE COMMISSION,,,생략
가입유형,SSBYP,SUBSCRIBE TYPE,,,생략
가입일자,ENTRDT,ENTRY DATE,가입일,,생략
가입자내부식별자,IMEM,INTERNAL MEMBER,,,생략
가입자선로,SSCRN,SUBSCRIBER LINE,,,생략
가입제한,SSCBL,SUBSCRIBE LIMIT,,,생략
가입해지,SCBT,SUBSCRIBE TERMINATE,,,생략
가장,DSGS,DISGUISE,,,생략
가점,ADPNT,ADD POINT,,,생략
가정,ASMPT,ASSUMPTION,,,생략
가정환경,HOMEBG,A HOME BACKGROUND,,,생략
가져오기,BRNG,BRING,,,생략
가족,FMLY,FAMILY,,,생략
가족관계코드,FMLRLCD,FAMILY RELATIONSHIP CODE,,분류어,생략
가족수당,FMLALW,FAMILY ALLOWANCE,,,생략
가족수당신청구분코드,FADCD,FAMILY ALLOWANCE APPLICATION DIVISION CODE,,분류어,생략
가족수당신청상태코드,FASCD,FAMILY ALLOWANCE APPLICATION STATE CODE,,분류어,생략
가족수당직업코드,FJCD,FAMILY ALLOWANCE JOB CODE,,분류어,생략
가족여비,FMTRVEXP,FAMILY TRAVELING EXPENSES,,,생략
가족증감구분코드,FIDDCD,FAMILY INCREASE AND DECREASE DIVISION CODE,,분류어,생략
가중,WGTNG,WEIGHTING,,,생략
가중이동평균,WMA,WEIGHTED MOVING AVERAGE,,,생략
가중처벌,AGRPNL,AGGRAVATED PENALTY,,,생략
가중치,WGT,WEIGHT,,분류어,생략
가집행,PRSXCT,PROVISIONAL EXECUTION,,,생략
가집행선고,STVC,SENTENCE OF PROVISIONAL EXECUTION,,,생략
가처분,PRVDSP,PROVISIONAL DISPOSITION,,,생략
가청,AUDBLTY,AUDIBILITY,,,생략
가치,WRTH,WORTH,,,생략
가치관,OSV,ONE'S VALUE,,,생략
가치등급코드,WRTHCD,WORTH GRADE CODE,,분류어,생략
가치평가,VALUAT,VALUATION,,,생략
가트,GATT,GATT,,,생략
가해자,HRMR,HARMER,,,생략
가혹행위,CRUEL,CRUEL,,,생략
각국,EVRCTR,EVERY COUNTRY,,,생략
각군,ECHARMY,EACH ARMY,,,생략
각급,ECHCLS,EACH CLASS,,,생략
각급기관,ENDNST,EVERY KIND OF INSTITUTION,,,생략
각도,ANG,ANGLE,각,분류어,생략
각령,CBORD,CABINET ORDER,,,생략
각료,CNMSTR,CABINET MINISTER,,,생략
각목,SQRB,SQUARE BAR,,,생략
각서,WRTPRM,WRITTEN PROMISE,,,생략
각종,EVRKND,EVERY KIND,,,생략
각주,FTNT,FOOTNOTE,,,생략
각형,SQRSHP,SQUARE SHAPE,,,생략
각호,EVRDR,EVERY DOOR,,,생략
간,BTWN,BETWEEN,,,생략
간격,INTVL,INTERVAL,,,생략
간격극복자산유형코드,INTASSTYPCD,INTERVAL OVERCOME TYPE CODE,,분류어,생략
간략,SMPLCT,SIMPLICITY,,,생략
간만,EBBFLW,THE EBB AND FLOW,,,생략
간만차,TDRG,TIDAL RANGE,,,생략
간병,NRSNG,NURSING,,,생략
간병인,CRGVR,CAREGIVER,,,생략
간부,PRCMB,PRINCIPAL MEMBER,,,생략
간부정례신체검사구분코드,PRCPHEXDVSCD,PRINCIPAL MEMBER PHYSICAL EXAMINATION DIVISION CODE,,분류어,생략
간부정례신체검사판정코드,PRCPHEXJMTCD,PRINCIPAL MEMBER PHYSICAL EXAMINATION JUDGMENT CODE,,분류어,생략
간사,ASSTADM,ASSISTANT ADMINISTRATOR,,,생략
간선도로,MNRD,MAIN ROAD,,,생략
간섭,INTRF,INTERFERENCE,,,생략
간소화,SMPLFC,SIMPLIFICATION,,,생략
간염,HEPATITIS,HEPATITIS,,,생략
간음,ADLTRY,ADULTERY,,,생략
간이,SIMPLCT,SIMPLICITY,,,생략
간이역,WAYSTN,WAY STATION,,,생략
간이인도,SMDVR,SUMMARY DELIVERY,,,생략
간장,SSAUC,SOY SAUCE ,,,생략
간접,INDR,INDIRECT,,,생략
간접경비,INDEXP,INDIRECT EXPENSES,,,생략
간접노무비,INDLBCST,INDIRECT LABOR COST,간접노무비용,,생략
간접비,INDCST,INDIRECT COST,,,생략
간접이행금액,AMTINP,AMOUNT OF INDIRECT PERFORMANCE,간접이행금,,생략
간접재료비,INDMTCST,INDIRECT MATERIAL COST,간접재료비용,,생략
간접절충교역,INDOFS,INDIRECT OFFSET,,,생략
간조,ETIDE,EBB TIDE,,,생략
간주,REGARD,REGARD,,,생략
간질,EPLPSY,EPILEPSY,,,생략
간첩,SPY,SPY,,,생략
간행물,PRDCL,PERIODICAL,발간물,,생략
간호,NRSCR,NURSING CARE,,,생략
간호계획,NRSPLN,NURSING PLAN,,,생략
간호기록,NRSCRLG,NURSING CARE LOG,,,생략
간호문제,NRSPRBLM,NURSING PROBLEM,,,생략
간호사,NRS,NURSE,,,생략
간호일정,NUSCH,NURSING CARE SCHEDULE,,,생략
간호장교,NRSOFCR,NURSING OFFICER,,,생략
간호조무사,NSAID,NURSE AIDE,,,생략
간호처방,NUPRS,NURSING CARE PRESCRIPTION,,,생략
감가,RDPRC,REDUCTION IN PRICE,,,생략
감가상각,DPRC,DEPRECIATION,상각,,생략
감가상각누계액,AAOD,ACCUMULATED AMOUNT OF DEPRECIATION,"감가상각누계금액,감가상각누계금",,생략
감가상각방법코드,DPMTHCD,DEPRECIATION METHOD CODE,,분류어,생략
감가상각비,DPRCEXP,DEPRECIATION EXPENSE,"상각비,감가상각비용",,생략
감가수정,PCRDCAMD,PRICE REDUCTION AMENDMENT,,,생략
감가액,AMTRD,AMOUNT OF REDUCTION,,,생략
감가율,RDRT,REDUCTION RATE,,,생략
감각,SNSTN,SENSATION,,,생략
감나무,PRSMMN,PERSIMMON,,,생략
감도,SNTVT,SENSITIVITY,,,생략
감독,DRTN,DIRECTION,,,생략
감독관,SPVSR,SUPERVISOR,,,생략
감독관업무보고,SPVBIZRPT,SUPERVISOR BUSINESS REPORT,,,생략
감독일자,DRTNDT,DIRECTION DATE,감독일,,생략
감리,AUDT,AUDIT,,,생략
감리관리,SPVMNGMT,SUPERVISION MANAGEMENT,,,생략
감마,GAMA,GAMMA,,,생략
감면,RXP,REDUCTION EXEMPTION,,,생략
감면구분코드,RXPDCD,REDUCTION EXEMPTION DIVISION CODE,,분류어,생략
감면여부코드,RXPYNCD,REDUCTION EXEMPTION YES OR NO CODE,,분류어,생략
감면처리코드,RXPPCD,REDUCTION EXEMPTION PROCESS CODE,,분류어,생략
감모,DCRS,DECREASE,,,생략
감배,DIVRDC,REDUCTION OF DIVIDEND,,,생략
감봉,SLYRD,SALARY REDUCTION,,,생략
감사,AUDIT,AUDIT,,,생략
감사기관,ISPST,INSPECTION INSTITUTION,,,생략
감사실,AUDTOFC,AUDIT OFFICE,,,생략
감사원,BAI,BOARD OF AUDIT AND INSPECTION,,,생략
감사원소관코드,BAIJCD,BOARD OF AUDIT AND INSPECTION JURISDICTION CODE,,분류어,생략
감사인,ADTOR,AUDITOR,,,생략
감사책임자,IPSPR,INSPECTION RESPONSIBLE PERSON,,,생략
감산,SBTN,SUBTRACTION,,,생략
감소,DECRS,DECREASE,,,생략
감소량,DCRSQTY,DECREASE QUANTITY,감소수량,,생략
감소액,DCRSAMT,DECREASE AMOUNT,"감소금액,감소금",,생략
감속,DCEL,DECELERATION,,,생략
감손,DMNTN,DIMINUTION,,,생략
감손율,DCRSRT,DECREASE RATE,,,생략
감수,WLSBM,WILLING SUBMISSION,,,생략
감수성,SNSBLT,SENSIBILITY,,,생략
감시,SVNC,SURVEILLANCE,,,생략
감시구역,SVSCT,SURVEILLANCE SECTOR,,,생략
감시초소,GP,GUARD POST,"GP,초소",,생략
감시초소번호,GPNO,GUARD POST NUMBER,,분류어,생략
감압,DCMPRS,DECOMPRESSION,,,생략
감액,RDCT,REDUCTION,,,생략
감액산출신분구분코드,RCSCD,REDUCTION CALCULATION SOCIAL POSITION DIVISION CODE,,분류어,생략
감액유형코드,RTCD,REDUCTION TYPE CODE,,분류어,생략
감염,IFCTN,INFECTION,SEPTIC,,생략
감염상태,IFSTE,INFECTION STATE,,,생략
감염예방조치,IPRACT,INFECTION PREVENTION ACTION,,,생략
